"Location","Year","Trial","Experiment.Name","Design","Index","AIC","logLik","Moran I statistic","Expectation","Variance","p Value","CV"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","Control","200.11712619828","-98.05856309914","0.133298028830887","-0.0050761421319797","0.00270507287208873","0.00390107426552675","32.4099126812905"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","Can_Cover","112.390361298281","-53.1951806491405","0.14105117437862","-0.0050761421319797","0.00257137401961407","0.00197767993537665","25.9870616549896"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","NDVI","148.130883860877","-71.0654419304387","0.110852975621678","-0.0050761421319797","0.002634233635556","0.0119499201489457","28.3077639396422"
"Lind","2020","F5 SP","2020 Lind Hard F5 SP","Augmented ","NDRE2","144.714461810333","-69.3572309051667","0.0945092919925518","-0.0050761421319797","0.00263479956033451","0.026184335125669","28.060869311326"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","Control","93.5710255597165","-44.7855127798583","0.0820429834603489","-0.00934579439252336","0.00508390714196846","0.099969975289246","21.7332416764459"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","Can_Cover","36.2157933820281","-15.1078966910141","0.211131837441517","-0.00934579439252336","0.00505181275291566","0.00096111020966849","15.1579279175908"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","NDVI","5.8146167284779","0.0926916357610494","0.0908948809340105","-0.00934579439252336","0.00509304364670156","0.0800688673789635","13.0178807177877"
"Lind","2020","DH SP","2020 Lind HRW DH SP","Augmented ","NDRE2","-1.99886875647962","3.99943437823981","0.0738675516345483","-0.00934579439252336","0.00507877590133551","0.121473565134023","12.458878397386"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","Control","283.741744030557","-139.870872015279","0.0406708380537013","-0.00327868852459016","0.00173756973953663","0.145862309886418","21.4555249566507"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","Can_Cover","21.5561868332277","-7.77809341661384","0.0539869114556635","-0.00327868852459016","0.00173748588590529","0.0847471457747266","14.8293009350096"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","NDVI","90.1751560792063","-42.0875780396032","-0.0156876990451241","-0.00327868852459016","0.00173762067338467","0.617028913425298","14.4278100454598"
"Lind","2020","F5 SP","2020 Lind Soft F5 SP","Augmented ","NDRE2","124.202793437854","-59.1013967189271","0.151461232472704","-0.00327868852459016","0.00173613039236927","0.000102110321058596","15.1985223170156"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","Control","391.98619341856","-193.99309670928","0.169058525173483","-0.00242130750605327","0.00129848913012506","9.7392463210233e-07","22.0875956246896"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","Can_Cover","135.693670401243","-64.8468352006216","0.287647645255671","-0.00242130750605327","0.00129045391169218","3.3802815710477e-16","16.1688441763306"
"Lind","2020","DH SP","2020 Lind SWW DH SP","Augmented ","NDVI","172.160994974147","-83.0804974870736","0.175005893928665","-0.00242130750605327","0.00129332511373794","4.03581763774275e-07","18.3651772294356"
